event_id,split_id,event_date,section_index,village_location,district,governorate,latitude,longitude,geocode_confidence,location_extraction_confidence,locations_in_same_section,split_location_count_in_section,casualty_allocation,count_for_casualty_totals,event_total_killed_from_focus_text,event_total_injured_from_focus_text,event_total_children_from_focus_text,location_killed,location_injured,location_children,injury_text_note,attack_type,source_count,post_count,confidence_level,warning_flags,event_summary_focus,event_summary_original,reference_links
LEB_MAY2026_0001,LEB_MAY2026_0001_S01_L01,2026-05-01,1,Nabatieh Fawqa,Nabatieh,Nabatieh,33.3855,35.4808,Medium,Medium,Nabatieh Fawqa,1,location_specific,Yes,2.0,10.0,,2.0,10.0,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,🚨 ورد الآن / وزارة الصحة: شهيدان و10 جرحى حصيلة الغارة الاسرائيلية على النبطية الفوقا,🚨 ورد الآن / وزارة الصحة: شهيدان و10 جرحى حصيلة الغارة الاسرائيلية على النبطية الفوقا,https://t.me/lebanonNewsNow/254836
LEB_MAY2026_0002,LEB_MAY2026_0002_S01_L01,2026-05-02,1,Ain Baal,Tyre,South,33.2667,35.3412,High,High,Ain Baal,1,location_specific,Yes,1.0,7.0,,1.0,7.0,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,🚨 ورد الآن / وزارة الصحة: الغارة الإسرائيلية على بلدة عين بعال قضاء صور أدت إلى سقوط شهيدة و7 جرحى,🚨 ورد الآن / وزارة الصحة: الغارة الإسرائيلية على بلدة عين بعال قضاء صور أدت إلى سقوط شهيدة و7 جرحى,https://t.me/lebanonNewsNow/254949
LEB_MAY2026_0003,LEB_MAY2026_0003_S01_L01,2026-05-02,1,Shoukin,Nabatieh,Nabatieh,33.3757,35.5051,Medium,High,Shoukin,1,location_specific,Yes,2.0,,,2.0,,,Unknown number mentioned,Airstrike,2,2,Medium,Casualty figure updated over time,🔴⬅️آثار قصف طيران الاحتلال العنيف على بلدة شوكين قضاء النبطية جنوب لبنان، والتي أسفرت عن استشهاد اثنين من السوريين وإصابة عدد آخر بينهم رئيس البلدية.,🔴⬅️آثار قصف طيران الاحتلال العنيف على بلدة شوكين قضاء النبطية جنوب لبنان، والتي أسفرت عن استشهاد اثنين من السوريين وإصابة عدد آخر بينهم رئيس البلدية.,https://t.me/N_FFG/81057 | https://t.me/janoub_lebnan23/41690
LEB_MAY2026_0004,LEB_MAY2026_0004_S01_L01,2026-05-02,1,Mansouri,Tyre,South,33.178,35.235,Medium,High,Mansouri; Majdal Selm,2,shared_event_total_not_allocated_to_split_locations,No - use event totals once by event_id,,,,,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,*غارة اسرائيلية استهدفت بلدة المنصوري في جنوب لبنان، والاحتلال منع فرق الصليب الأحمر من انتشال الشهداء وسحب الجرحى في بلدة مجدل سلم.*,*غارة اسرائيلية استهدفت بلدة المنصوري في جنوب لبنان، والاحتلال منع فرق الصليب الأحمر من انتشال الشهداء وسحب الجرحى في بلدة مجدل سلم.*,https://t.me/lcncitizens2023/43429
LEB_MAY2026_0004,LEB_MAY2026_0004_S01_L02,2026-05-02,1,Majdal Selm,Marjayoun,Nabatieh,33.184,35.447,Medium,High,Mansouri; Majdal Selm,2,shared_event_total_not_allocated_to_split_locations,No - use event totals once by event_id,,,,,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,*غارة اسرائيلية استهدفت بلدة المنصوري في جنوب لبنان، والاحتلال منع فرق الصليب الأحمر من انتشال الشهداء وسحب الجرحى في بلدة مجدل سلم.*,*غارة اسرائيلية استهدفت بلدة المنصوري في جنوب لبنان، والاحتلال منع فرق الصليب الأحمر من انتشال الشهداء وسحب الجرحى في بلدة مجدل سلم.*,https://t.me/lcncitizens2023/43429
LEB_MAY2026_0005,LEB_MAY2026_0005_S01_L01,2026-05-03,1,Arab Salim,Nabatieh,Nabatieh,33.4238,35.4885,High,Medium,Arab Salim; Jarjouaa,2,shared_event_total_not_allocated_to_split_locations,No - use event totals once by event_id,,,,,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,🚨 ورد الآن / الطيران الحربي الإسرائيلي نفّذ فجرًا غارة استهدفت استراحة قرب حديقة الشهداء بين جرجوع وعربصاليم ما أدى إلى تدميرها,🚨 ورد الآن / الطيران الحربي الإسرائيلي نفّذ فجرًا غارة استهدفت استراحة قرب حديقة الشهداء بين جرجوع وعربصاليم ما أدى إلى تدميرها,https://t.me/lebanonNewsNow/255091
LEB_MAY2026_0005,LEB_MAY2026_0005_S01_L02,2026-05-03,1,Jarjouaa,Nabatieh,Nabatieh,33.4415,35.5365,Medium,Medium,Arab Salim; Jarjouaa,2,shared_event_total_not_allocated_to_split_locations,No - use event totals once by event_id,,,,,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,🚨 ورد الآن / الطيران الحربي الإسرائيلي نفّذ فجرًا غارة استهدفت استراحة قرب حديقة الشهداء بين جرجوع وعربصاليم ما أدى إلى تدميرها,🚨 ورد الآن / الطيران الحربي الإسرائيلي نفّذ فجرًا غارة استهدفت استراحة قرب حديقة الشهداء بين جرجوع وعربصاليم ما أدى إلى تدميرها,https://t.me/lebanonNewsNow/255091
LEB_MAY2026_0007,LEB_MAY2026_0007_S01_L01,2026-05-04,1,Kafra,Bint Jbeil,Nabatieh,33.164,35.386,Medium,High,Kafra,1,location_specific,Yes,,2.0,,,2.0,,,Targeted attack,3,3,Medium,,🚨 ورد الآن / الجيش: إصابة ضابط وعسكري بجروح طفيفة جراء استهداف إسرائيلي في بلدة كفرا,🚨 ورد الآن / الجيش: إصابة ضابط وعسكري بجروح طفيفة جراء استهداف إسرائيلي في بلدة كفرا - بنت جبيل أثناء تنقلهما بآلية عسكرية بين مراكز الجيش,https://t.me/MTVLebanoNews/67998 | https://t.me/lebanonNewsNow/255403 | https://t.me/mtvlebanonnews/317595
LEB_MAY2026_0006,LEB_MAY2026_0006_S01_L01,2026-05-04,1,Zawtar,Nabatieh,Nabatieh,33.361,35.506,Medium,Medium,Zawtar,1,location_specific,Yes,,,,,,,,Airstrike,1,1,Low - single source,Single-source event; verify before publication,❗️Two soldiers from an elite Golani brigade were injured near Zawtar during a raid in the area Israeli forces withdrew the wounded and then bombed the area Israeli forces might repush to capture this area. Zawtar is one of the most important checkpoints and the road to Nabatieh,❗️Two soldiers from an elite Golani brigade were injured near Zawtar during a raid in the area Israeli forces withdrew the wounded and then bombed the area Israeli forces might repush to capture this area. Zawtar is one of the most important checkpoints and the road to Nabatieh,https://t.me/LebUpdate/60593
LEB_MAY2026_0008,LEB_MAY2026_0008_S01_L01,2026-05-06,1,Zellaya,West Bekaa,Bekaa,33.575,35.733,Low - verify spelling,Medium,Zellaya,1,location_specific,Yes,,,,,,,,Airstrike,1,3,Low - single source,Single-source event; verify before publication,🚨 ورد الآن / ارتفاع عدد الشهداء جراء الغارة الاسرائيلية التي استهدفت زلايا في البقاع الغربي إلى 4,🚨 ورد الآن / ارتفاع عدد الشهداء جراء الغارة الاسرائيلية التي استهدفت زلايا في البقاع الغربي إلى 4,https://t.me/lebanonNewsNow/255687 | https://t.me/lebanonNewsNow/255709 | https://t.me/lebanonNewsNow/255710
